PROJ #,DATE ACTIVE,PROJECT NAME,"STRATA 
PLAN","# OF 
UNITS",PM,"ONSITE CONTACT
",STRATA TYPE,"INSURANCE
COMPANY","INSURANCE
EXPIRY (ANNIV)",DATE OF LAST FIRE INSPECTION,"DATE OF LAST
APPRAISAL",APPRAISAL CO. & CONTRACT YEAR,"LIEN
FEE",LIEN INVOICING CODES,"MOVE IN 
FEE","MOVE OUT 
FEE",RSERVICE,FISCAL YEAR END,AGM DEADLINE,LAST AGM HELD / WAIVER SIGNED
5061,,"MARINASIDE RESORT RESIDENCES - JOINT
D-193 Aquarius Mews V6Z 2Z2 (5061-1)
E-1077 Marinaside Crescent V6Z 2Z5  (5061-2)
N-1099 Marinaside Crescent V6Z 2Z3 (5061-3)
123/133/163/183 Aquarius Mews V6Z 2Z1
128/168/178/188/198 Boathouse Mews V6Z 2Z6 (5061-4)
1090 Pacific Boulevard - Concierge",LMS4255,369 Units,JL,"Bldg. Super: Miljen Mutic
604-710-4599 (do not give out)
Email: MMutic@ranchogroup.com (do not give out)

Concierge: 604-974-0275
marinasideconcierge@rservice.ca
Fax: 604-974-0276
Asst. Super: Dejan Metrovic
Cell: 778-874-1419


",JOINT,Acera,11-Oct-25,25-Nov-15,"Friday, October 11, 2024","NORMAC
Year 1 of 3 ",$200.00 ,,$200.00 ,,Yes,30-Nov,30-Jan,1-Feb-16
5063,,"MARINASIDE RESORT RESIDENCES - COMMERCIAL SECTION
D-193 Aquarius Mews V6Z 2Z2 (5061-1)
E-1077 Marinaside Crescent V6Z 2Z5  (5061-2)
N-1099 Marinaside Crescent V6Z 2Z3 (5061-3)
123/133/163/183 Aquarius Mews V6Z 2Z1
128/168/178/188/198 Boathouse Mews V6Z 2Z6 (5061-4)
1090 Pacific Boulevard - Concierge",LMS4255C,7 Units,CKS,,COMMERCIAL SECTION,Acera,11-Oct-25,,"Friday, October 11, 2024","NORMAC
Year 1 of 3 ",$200.00 ,PRO/DEVEL/XXXX,,,No,30-Nov,30-Jan,21-Jan-16
5069,,"CAMBRIDGE PLACE
555 West 14th Avenue
Vancouver, BC
V6Z 4G8",VR1428,57 Units,SB,"Jun Guevarra
Email: jun@linis.ca
Phone: 604-351-7544

On Site Monday ? Friday, 8am-12pm

",NORMAL,Hub,31-Aug-25,13-Oct-15,"Sunday, August 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,No,31-Aug,31-Oct,26-Oct-16
5079,,"AVONLEA HEIGHTS
3060 Plateau Crescent
Coquitlam, BC
V3E 3B3",LMS1632,80 Units,PR,n/a,NORMAL/BARELAND STRATA,BFL Canada,1-Apr-26,,"Tuesday, April 1, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,No,30-Apr,30-Jun,15-Jun-16
5093,,"GOLDEN LEAF TOWERS I & II
7700 Granville Avenue V6Y 4C1
7680 Granville Avenue (Tower I) V6Y 4B9
7760 Granville Avenue (Tower II) V6Y 4C2
Richmond, BC",LMS2807,128 Units,"SY/CCS
(FF is Admin)"," Edwin Ma (Building Manager)
Mon-Fri (8am-4pm)
778 862 8803 (office)
goldenleaftowers@rservice.ca
",NORMAL,BFL Canada,16-Jul-25,28-Feb-15,"Wednesday, July 16, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$150
$75 for furnished",,Yes,31-Mar,31-May,18-May-16
5103,,"THE GRAFTON (JOINT)
1238 Homer Street
Vancouver, BC
V6B 2Y5
5103R for residential
5103C for commercial
",LMS3182,30 Units,"KZ
","Cam Brister
cbrister@allbrightservices.ca
604-312-9936",JOINT,Acera,1-Apr-26,27-Nov-15,"Tuesday, April 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,"$100 Move-in fee
(bylaws amendment for move-in fee change to $200 has not been registered)
$200 Deposit
$100 Elevator key deposit (cash only)","$200 Damage Deposit
$100 - elevator key deposit (cash only)",No,31-Mar,31-May,30-May-16
5104,,"QUAYSIDE MARINA
1088 Marinaside Crescent
Vancouver, BC
V6Z 3C4",LMS4705,115 Units,"CKS
(AW is Admin)","
Marina Office:
604-681-9115
Marina Cell: 
604-209-6456 (ok to give out)
Marina Fax:
604-681-1932
Email: qsmarina@rservice.ca

Richard - 778-980-2156 (do not give out)

Bike Patrol: 778-846-2672
",NORMAL/BARELAND STRATA,Axis Insurance,8-Jul-25,15-Sep-15,"Thursday, July 8, 2021","NORMAC
Year 2 of 3",$200.00 ,,,,No,30-Sep,30-Nov,28-Nov-16
5105,,"SOMMERTON
4711 BLAIR DRIVE
RICHMOND, BC",LMS4294,38 Units,MC,"Contact PM

",NORMAL,BFL Canada,15-Dec-25,27-Jan-15,"Sunday, December 15, 2024","NORMAC
Year 1 of 3",$200.00 ,,,,No,28-Feb,28-Apr,4-Apr-17
5106,,"MARINA PARKADE
1011 Marinaside Crescent
Vancouver, BC",,,"CKS 
",,,"SHAW SABBEY
(Insurance on 5104)","8-Jul-23
",,,,,,,,,n/a,n/a,n/a
5107,,"WEST ONE
1408 Strathmore Mews North
Vancouver, BC
V6Z 3A9",BCS183,246 Units,CL,"Concierge: 604-681-0159
Bldg. Manager: Imran Mohammad 
Phone: 604-681-0159
Email: westoneconcierge@rservice.ca",NORMAL,BFL Canada,30-Nov-25,23-Nov-15,,SUNCORP,$200.00 ,,"
(a) For a move in or out of an unfurnished strata lot that requires elevator, hallway or stairwell access:  $250.00
(b) For a move in or out of an unfurnished strata lot that does not require elevator, hallway or stairwell access:   $120.00
(c) For a move in or out of a furnished strata lot, regardless of need for elevator, hallway or stairwell access:  $100.00
(d) For an internal move within the building, regardless of need for elevator, hallway or stairwell access:  $100.00
(e) Townhouses are exempted from the aforementioned fees, provided that no elevator is used during the move. 
","
(a) For a move in or out of an unfurnished strata lot that requires elevator, hallway or stairwell access:  $250.00
(b) For a move in or out of an unfurnished strata lot that does not require elevator, hallway or stairwell access:   $120.00
(c) For a move in or out of a furnished strata lot, regardless of need for elevator, hallway or stairwell access:  $100.00
(d) For an internal move within the building, regardless of need for elevator, hallway or stairwell access:  $100.00
(e) Townhouses are exempted from the aforementioned fees, provided that no elevator is used during the move. 
",Yes,31-Jan,31-Mar,8-Mar-16
5108,,"ONE AMENITY ROOM - CLUB VIVA
428 Pacific Street
Vancouver, BC
V6Z 3G9",,100 Units,CS,"Attendant Desk
Phone: 604-689-1611",CLUB,BFL Canada,30-Nov-25,,,,$150.00 ,,,,Yes,n/a,n/a,n/a
5110,,TEMPORARY MOORAGE,,,CKS,,,,,,,,,,,,,n/a,n/a,n/a
5111,,"THE CONCORD
1328 Marinaside Crescent
Vancouver, BC
V6Z 3B3",BCS327,86 Units,"SR
","Bldg. Super: Ted Galvin
Cell: 604-833-6585  (do not give out)
tgalvin@allbrightservices.ca
Concierge: 604-688-5488
concordconcierge@rservice.ca
Pager: 604-601-7844
Fax: 604-682-2093
",NORMAL,BFL Canada,6-May-26,24-Apr-25,"Tuesday, May 6, 2025","NORMAC
Year 2 of 3",$200.00 ,,$200.00 ,$100.00 ,Yes,31-May,31-Jul,24-Apr-24
5114,,"THE WATERFORD
1483 Homer Street
403-423 Beach Crescent
1495-1485 Homer Street
Vancouver, BC
V6Z 3C7",BCS435,129 Units,"JL
","Gerardo
Concierge: 604-899-6207
Concierge Fax: 604-899-6219
Email: waterfordconcierge@rservice.ca",NORMAL,BFL Canada,18-Aug-25,"February 15-18, 2016","Monday, August 18, 2025","NORMAC
Year 3 of 3",$200.00 ,,"200
$150 for units that do not require elevator hallway or stairwell access (i.e. townhomes)","200
$150 for units that do not require elevator hallway or stairwell access (i.e. townhomes)",Yes,30-Aug,30-Oct,18-Oct-16
5115,,"HEARTHSTONE
7733 Heather Street
Richmond, BC
V6Y 4J1",BCS397,60 Units,SY,Contact PM,NORMAL,BFL Canada,29-Jul-25,,"Tuesday, July 29, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,No,31-Jul,30-Sep,19-Sep-16
5117,,"AZURA ONE
1438 Richards Street
Vancouver, BC
V6Z 3B8

483-489 Beach Crescent
Vancouver, BC 
V6Z 3B9",BCS679,207 Units,"BL/TL
(Mariya is Admin)
","Bldg. Super: Hector Aguilar
haguilar@allbrightservices.ca

Concierge: 604-688-9606
Fax: 604-688-9642
Email: azuraoneconcierge@rservice.ca
",NORMAL,BFL Canada,31-May-26,14-Nov-24,"Saturday, May 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,$250.00 ,$0.00 ,Yes,30-May,30-Jul,25-Jul-24
5118,,"AZURA TWO
1495 Richards Street
Vancouver, BC
V6Z 3E3

Townhomes
503, 505, 515, 525 Beach Crescent
Vancouver, BC",BCS890,200 Units,GR,"Bldg. Super: Carlos Perdomo
Cell: 604-813-6463 (do not give out)
Email: cperdomo@rservice.ca

Concierge: 604-681-0878
Fax: 604-685-1109
Email: superclubconcierge@rservice.ca",NORMAL,Hub International,10-Aug-25,13-Mar-15,"Sunday, August 10, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$350.00
No Elevator, Stair, Hallway -$100.00",,Yes,30-Dec,28-Feb,25-Feb-16
5120,,"SUPERCLUB
1495 Richards Street
Vancouver, BC
V6Z 3E3",,75 Units,KC,"Concierge: 604-681-0878
superclubconcierge@rservice.ca",CLUB,Hub International,10-Aug-25,,"Saturday, July 24, 2010",,$150.00 ,,,,Yes,n/a,n/a,n/a
5125,,"L'ARIA
822 Seymour Street
Vancouver, BC
V6B 1L7",BCS1076,82 Units,"SB
","Building Manager: Chris Jose
Work Mobile: 604-790-7273
Email: chris.jose@allbrightservices.ca",AIR SPACE PARCEL,Acera,20-Nov-25,22-Sep-15,"Wednesday, November 20, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$200.00 (weekdays)
$200 + $150.00 (weekends)
New owner/occupier is entitled 
to 1 free move in 
$200 cash deposit required",,No,31-Jan,31-Mar,5-Apr-16
5127,,"PARK WEST
455 Beach Crescent
Vancouver, BC
V6Z 3E5

Townhomes
1455 Strathmore Mews
1465 Strathmore Mews
1475 Strathmore Mews",BCS1099,173 Units,CZ,"Building Manager: Soviyat Banjade 
Phone: 604-809-2419
parkwestBM@rservice.ca

Concierge: Alain
604-240-8221
Fax: 604-488-1164
email: parkwestconcierge@rservice.ca",NORMAL,BFL Canada,8-Feb-26,23-Jun-15,"Thursday, February 8, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$275.00
TH - $100.00
Internal - $75.00
","$150
TH - $75
internal $75",Yes,30-Apr,30-Jun,20-Jun-16
5128,,"TWO PARK WEST
583 Beach Crescent
Vancouver, BC V6Z 3E6

 1468, 1478, 1482, 1488 Seymour Street / 555, 567, 573, 575, 593, 595 Beach Crescent",BCS1219,175 Units,KC,"Morning Building Manager
Hector Aguilar 
Phone: 778-879-1522 (Do Not Give Out)

Afternoon Building Manager:
Ricardo Trejo
Cell: 778-689-8376 (do not give out)
ricardo.trejo@allbrightservices.ca

Phone: 604-813-6463
Fax: 604-685-1109
Concierge: 604-681-0878
Cell: 604-812-9965
Email: superclubconcierge@rservice.ca",NORMAL,BFL Canada,25-Apr-26,21-Feb-25,"Friday, April 25, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$200.00
TH - $100.00
Internal - $75.00","$200.00
TH - $100.00
",Yes,30-Apr,30-Jun,26-Jun-24
"5131

5131N (North Tower)
5131S (South Tower)
",,"NOVO TWO
9232 University Crescent - North
Townhouses:
9234, 9236, 9238 University Crescent
Burnaby, BC V5A 0A3

9262 University Crescent - South
Townhouses:
9256, 9258, 9260 University Crescent
Burnaby, BC V5A 0A4",BCS1893,175 Units,GR,"Building Manager:
Vladimir Estay
Office: 604-568-3362
Cell: 778-227-4423 (do not give out)
vestay@rservice.ca
",NORMAL,HUB,16-Jun-25,22-May-15,"Monday, June 16, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$200
TH - $0",,Yes,30-Aug,30-Oct,1-Nov-16
"5133
5133-1
5133-2",,"THE MAX (RESIDENTIAL)
928 Beatty St.   V6Z 3G6 (Tower I) 

938/950/960/968/970 (Townhouses)
978/980 Beatty St.  V6Z 3C6

963/969/973/977/979 Expo Blvd. V6Z 3G8 (Townhouses)

930, 938, 950, 960, 968, 970, 978, 980 Beatty Street (Townhouses)

939 Expo Blvd. (Tower II)      
 Vancouver, BC V6Z 3G7",BCS1437,526 Units,"FY/CL
(EJ is Admin)","Building Manager: 
Onofre Mejia
778-917-3656
themaxbuildingmanager@gmail.com

Concierge: 604-602-6751
Cell: 604-834-5851
Concierge's Fax: 604-608-2529
Email: maxconcierge@rservice.ca",RESIDENTIAL SECTION,BFL Canada,17-Aug-25,,"Sunday, August 17, 2025","NORMAC
Year 2 of 3 ",$200.00 ,,"Apt.: $250.00
TH/Loft: $0
Internal (same tower): $125
",,Yes,30-Sep,30-Nov,9-Nov-16
5134,,"THE MAX COMMERCIAL
910, 920 Beatty St.

78, 80, 82, 86, 88, 90, 92 Smithe St.

 903, 909, 919, 923, 929, 955 Expo Boulevard

910, 920 Beatty Street / 78, 80, 82, 86, 88, 90, 92

Smithe Street / 903, 909, 919, 923, 929, 955 Expo Blvd",BCS1437,15 Units,"FY/CL
(EJ is Admin)",,COMMERCIAL SECTION,BFL Canada,17-Aug-25,,"Sunday, August 17, 2025","NORMAC
Year 2 of 3 ",$200.00 ,,,,No,30-Sep,30-Nov,3-Feb-16
5135,,THE MAX JOINT,BCS1437,541 Units,"FY/CL
(EJ is Admin)",,JOINT,BFL Canada,17-Aug-25,20-May-15,,,,,,,,30-Sep,30-Nov,9-Nov-16
5141,,"THE VICTORIA (RESIDENTIAL)
751 & 789 Helmcken V6B 5R1",LMS1608,10 Units,"CKS/KN  (KaWing is PM)
(AW is Admin)","Bldg. Super: Ben Longno
Cell: 604-839-5060
blongno@rservice.ca",RESIDENTIAL SECTION,JT INSURANCE,31-Dec-25,22-Oct-15,"Tuesday, December 31, 2024","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,$50.00 ,$50.00 ,No,30-Aug,30-Oct,3-Nov-16
5142,,"EXECUTIVE PLACE (formerly The Victoria Commercial)
1070, 1080, 1090 Howe Street
Vancouver, BC
V6Z 1P5",LMS1608,48 Units,"CKS/KN  (KaWing is PM)
(AW is Admin)","Bldg. Super: Ben Longno
Cell: 604-839-5060
blongno@rservice.ca ",COMMERCIAL SECTION,JT INSURANCE,31-Dec-25,22-Oct-15,"Sunday, December 31, 2023","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,$50.00 ,$50.00 ,No,30-Aug,30-Oct,3-Nov-16
5143,,"FREESIA (RESIDENTIAL)
1082 Seymour Street       
Vancouver, BC 
V6B 1X9

Townhouses 
1060, 1068, 1072, 1078, 1092 Seymour St
555 & 565 Helmcken St.
Vancouver, BC V6B 3M6",BCS1903,"181 Units -R
4 Units - C",CL,"Concierge: Kiran
Cell: 604-813-1082
Email: freesiaconcierge@rservice.ca
Concierge: 604-662-4915
",RESIDENTIAL SECTION,BFL Canada,30-Jun-25,9-Mar-15,"Monday, June 30, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$250.00
When an elevtor is required",,Yes,30-Aug,30-Oct,24-Oct-16
5144,,"BOHEMIA
642-690 West 6th Avenue
Vancouver, BC
V5Z 1A3",BCS1849,44 Units,"KN
(AW is Admin)","Anna Tarko
Phone: 604-518-9510 (do not give out)
Email: annatarko@live.ca (do not give out)",NORMAL,Acera,7-Aug-25,11-Jan-16,"Thursday, August 7, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$100 
(if change in ownership, first move in is exempt)",,No,31-Oct,31-Dec,6-Dec-16
"5145
5145-1 (638 Beach Cres., Tower 1 + TH)
5145-2 (633 Kinghorne, Tower 2)
",,"ICON
N Tower 610 Beach Crescent V6Z 3H5
630 Beach Crescent V6Z 3H5
638 Beach Crescent V6Z 3H4    
O Tower 633 Kinghorne Mews V6Z 3H3
610, 630 Beach Crescent (Townhouse)
",BCS1964,176 Units,FY,"Building Manager:
Jose (Moi) Balacua
(604) 786-0059 
jbalacua@ranchogroup.com

Concierge: 604-682-7751
Cell: 604-838-9869
Fax: 604-682-7753
email: iconconcierge@rservice.ca",NORMAL,BFL Canada,17-Aug-25,"September 3, 2014
August 29, 2014","Sunday, August 17, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$200.00
$100.00 - TH/Furnished","$200.00
$100.00 - TH/Furnished",Yes,30-Dec,28-Feb,17-Feb-16
5146,,ICON PARKING/CLUB OASIS,,50 Units,FY,,CLUB,BFL Canada,17-Aug-22,,,,$150.00 ,,,,Yes,n/a,n/a,n/a
"5147
5147E (8 & 10 Renaissance Sq.)
5147W (7 Rialto Ct.)
",,"MURANO LOFTS
7 Rialto Court V3M 7A8
8 Renaissance Square V3M 7A9
10 Renaissance Square V3M 7B1
New Westminster, BC",BCS1347,237 Units,"SR/HB
(SR is Senior PM)
(VC is Admin)

","Building Manager: Marjan Gjorgevich
Office: 604-519-9555
Cell: 604-908-6983 (don?t give out)
Email: muranolofts@rservice.ca
 ",NORMAL,Acera,15-Aug-25,6-Mar-25,"Friday, August 15, 2025","NORMAC
Year 2 of 3",$200.00 ,,$200 + $50 fob program fee,,Yes,30-Aug,30-Oct,29-Oct-24
5149,,"PERLA (COMMERCIAL)
8188 Saba Road
Richmond, BC
V6Y 4B2",BCS282,7 Units,CKS,"Name: David Ashbaugh
Telephone: 604-813-1564
Email: bcs282.perla@gmail.com
Office Hours: 8 am to 5 pm

Monday to Friday
On Site Hours:
9:30 a.m. to 6:00 p.m.

Office Hours (Amenity Room in Tower A):
9:30 a.m. to 10:00 a.m. & 4:30 p.m. to 5:45 p.m. (or by appointment)

",COMMERCIAL SECTION,BFL Canada,25-Jun-25,24-Oct-16,"Wednesday, June 25, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,"$275 move in fee 

$100 for furnished/move between floors

additional $100 for weekend moves, whether in or out

",$0.00 ,No,30-Apr,30-Jun,29-Jun-16
5150,,"PERLA (JOINT)
8100 Saba Road V6Y 4H1
6331 Buswell Street V6Y 4H2
Richmond, BC",BCS282,232 Units,RY,"Name: Samir Bhandari 
Telephone: 604-813-1564
Email: bcs282.perla@gmail.com
Office Hours: 2:00 p.m. - 4:00 p.m.

On Site Hours:
Monday to Friday
9:00 a.m. to 5:00 p.m.

Strata Agent Open Office Hour: 
Every month in 1st and 3rd Wednesday Afternoon
3 p.m. - 5 p.m",JOINT,BFL Canada,25-Jun-25,24-Oct-16,"Wednesday, June 25, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$275.00
*Weekend - $100.00 on top of the regular move in fee
-$100 for furnished/move between floors",$0.00 ,Yes,30-Apr,30-Jun,29-Jun-16
5156,,"THE BOWMAN (JOINT)
528 Beatty Street
Vancouver, BC
V6B 2L3",BCS2186,39 Units,"KD
","Building Manager:
JP Ojeda
306-914-8289 (cell,  do not give out)
778-374-1853 (office)
johnpaul@linis.ca",JOINT,BFL Canada,1-Oct-25,9-Dec-15,"Tuesday, October 1, 2024","NORMAC
Year 2 of 3",$200.00 ,,"$200 Move Fee, $100 Deposit cash",$200.00 ,No,30-Apr,30-Jun,28-Jun-16
5161,,"CRESTMARK
1228-1288 Marinaside Crescent
Vancouver, BC
V6Z 2W4
V6Z 2W5",LMS2781,221 Units,SR,"Concierge: 604-812-7638
Email: thecrestmark@novuscom.net
crestmark.concierge@rservice.ca

Luis Campos of Alliance Maintenance Ltd.
Crestmark Building Manager crestmarkbm@alliancecleans.com
Phone: 236-878-4563  8am-12noon.
",NORMAL,BFL Canada,30-Nov-25,2-May-25,"Saturday, November 30, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$300
$150 - furnished",$0.00 ,Yes,30-Dec,28-Feb,26-Feb-25
5162,,"POMARIA
1455 Howe Street
Vancouver, BC
V6Z 1C2

1437, 1439, 1441, 1443, 1445, 1447, 1449, 1451, 1457, 1459, 1461, 1463, 1465, 1467, 1469, 1471, 1473 Howe Street / 804, 806, 808, 810 Pacific Street (Townhouses)",BCS2495,139 Units,BK,"Concierge:
604-669-5162
Email: 
pomariaconcierge@yahoo.com

Building Managers:
Jason Beke
jbeke@allbrightservices.ca (do not give out)
778-874-1050 (do not give out)
Ricardo Trejo
604-716-8533 (do not give out)
ricardo.trejo@allbrightservices.ca ",NORMAL,Acera,5-Sep-25,25-Mar-15,"Friday, September 5, 2025","NORMAC
Year 1 of 3",$200.00 ,,"APT:$200
TH: $0","APT:$200
TH: $0",Yes,30-Nov,30-Jan,25-Jan-16
5163,,"FREESIA (COMMERCIAL)
575, 585 Helmcken Street  
 1088,1092 Seymour Street       
Vancouver, BC 
",BCS1903,4 Units,CL,Concierge: 604-662-4915,COMMERCIAL SECTION,BFL Canada,30-Jun-25,,,,$200.00 ,,,,,30-Aug,30-Oct,
5164-10,,"PINTURA (JOINT)
1530 West 8th Avenue
Vancouver, BC
V6J 5M6

TH:1532, 1536, 1538, 1556, 1558, 1566, 1568, 1576, 1578, and 1580 West 8th Avenue, Vancouver, BC",BCS1362,59 Units,"CF
","Site Contact:
Caretaker: John Paul Ojeda
Email: johnpaul@linis.ca",JOINT,Acera,25-Oct-25,9-Apr-15,"Friday, October 25, 2024","NORMAC
Year 1 of 3
",$200.00 ,,"$400.00 - APT
TH - $200.00",,No,30-Sep,30-Nov,30-Nov-16
5167,,"SPECTRUM 1&2
Tower 1 
 111 West Georgia Street    
 Vancouver, BC   
 V6B 1T8   
 
 Tower 2    
 668 Citadel Parade    
 Vancouver, BC
 V6B 1W6",BCS2478,443 Units,JT,"Richard Chan
604-785-5632 (don't give out)
rchan@allbrightservices.ca

Concierge: 604-689-9010
Fax: 604-689-9123
Cell: 604-834-8519
Email: spectrumconcierge@rservice.ca",NORMAL,BFL Canada,13-Sep-25,31-Dec-15,"Saturday, September 13, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$200.00
$0.00 for TH
Furnished suites - $100","$200.00
$0.00 for TH
Furnished suites - $100",Yes,31-Oct,31-Dec,13-Jan-16
5168,,"CLUB OZONE
 111 West Georgia Street    
 Vancouver, BC   ",,90 Units,JT,"Bldg. Super: Richard Chan
778-321-8092
spectrumconcierge@rservice.ca
",CLUB,BFL Canada,"9/13/2021
Part of Strata Policy",,,,,,,"$200.00
$0.00 for TH
Furnished suites - $100",Yes,n/a,n/a,n/a
5170,,"SPECTRUM 3
131 Regiment Square
101-129 Regiment Square
Vancouver, BC
V6B 1X6",BCS2577,211 Units,CL,"Delon Sogocio
dsogocio@allbrightservices.ca

Part time asst: 
Vikram Chahal 
Phone: 604-910-8982

Concierge: 604-689-9010 
Email:spectrumconcierge@rservice.ca",NORMAL,Acera,15-Nov-25,16-Jun-15,"Wednesday, November 20, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$150.00
$75.00 - TH/Internal
$0 - furnished","$150.00
$75.00 - TH/Internal",Yes,31-Jan,31-Mar,29-Mar-16
5176,,"INFINITY
13618 100th Avenue
Surrey, BC
V3T 0A8",BCS2785,345 Units,"CZ/TL
(CZ's Admin)
","Concierge
Phone: 778-395-3433
Cell: 604-314-6320
Email: infinityconcierge@rservice.ca
Building Manager: Walter Oyuela
604-329-4887 (do not give out)
email: woyuela@rservice.ca
",NORMAL,Hub,1-Mar-26,11-Dec-15,"Saturday, March 1, 2025","NORMAC
Year 2 of 3",$200.00 ,,$100.00 ,,Yes,30-Apr,30-Jun,15-Jun-16
